x,y,y_err
-10.00000,-29.05178,-4.05178
-9.16667,-20.27184,0.56150
-8.33333,-18.60450,-1.93784
-7.50000,-12.16491,0.33509
-6.66667,-4.65603,3.67730
-5.83333,-0.21350,3.95317
-5.00000,1.43979,1.43979
-4.16667,0.90868,-3.25798
-3.33333,4.32251,-4.01082
-2.50000,17.11801,4.61801
-1.66667,11.75059,-4.91608
-0.83333,22.78170,1.94836
0.00000,23.12940,-1.87060
0.83333,28.99010,-0.17657
1.66667,28.88740,-4.44594
2.50000,38.85109,1.35109
3.33333,43.96766,2.30099
4.16667,44.22799,-1.60534
5.00000,48.38606,-1.61394
5.83333,56.09943,1.93277
6.66667,60.88333,2.54999
7.50000,57.69886,-4.80114
8.33333,63.56855,-3.09812
9.16667,72.64586,1.81253
10.00000,71.88142,-3.11858
